,Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
175,,196,182,122,158,113,95,106,84,97,92,145,100,69,99
176,,1,951,838,756,867,777,716,638,679,740,698,672,606,646
177,,156,104,69,85,106,97,76,92,113,95,99,79,86,158
178,,14,12,5,4,8,14,1,1,3,1,1,2,0,3
179,,199,182,156,144,154,132,121,115,121,119,144,130,113,131
180,,1,3,0,2,1,1,3,0,1,2,2,1,1,0
181,,19,28,34,25,22,26,43,32,43,35,40,37,26,11
182,,22,21,23,35,28,24,27,21,26,24,36,18,20,4
183,,187,220,206,184,183,211,182,152,186,126,165,115,107,66
184,,432,468,417,589,503,503,437,381,261,431,429,360,260,79
185,,1,1,1,2,2,1,1,1,1,1,1,1,978,415
186,,104,89,80,106,129,123,134,86,113,133,140,122,61,22
187,,32,37,36,23,22,21,17,17,8,10,17,16,11,6
188,,420,470,425,496,460,457,463,348,402,385,428,351,278,117
189,,20,23,35,25,27,15,28,25,28,0,0,0,0,0
190,,91,59,80,62,95,85,83,233,264,0,0,0,0,0
191,,489,229,318,289,291,277,238,254,304,0,0,0,0,0
192,,549,386,507,447,534,500,382,548,567,0,0,0,0,0
193,,2,1,1,1,1,1,1,1,1,0,0,0,0,0
194,,5,3,4,4,4,4,4,4,4,0,0,0,0,0
195,,2,1,1,1,1,1,1,956,989,0,0,0,0,0
196,,0,0,0,0,0,69,56,61,77,0,0,0,0,0
197,,632,406,521,471,507,464,440,538,553,0,0,0,0,0
198,,0,4,0,0,0,0,3,1,0,0,0,0,0,0
199,,48,41,62,42,38,53,55,25,0,0,0,0,0,0
200,,63,78,76,62,37,53,75,27,0,0,0,0,0,0
201,,299,291,293,315,271,269,216,158,0,0,0,0,0,0
202,,550,800,683,527,505,607,494,209,0,0,0,0,0,0
203,,4,3,3,3,3,3,2,1,0,0,0,0,0,0
204,,196,199,156,157,194,203,174,99,0,0,0,0,0,0
205,,23,26,20,21,14,26,19,12,0,0,0,0,0,0
206,,381,375,365,333,308,335,314,162,0,0,0,0,0,0
207,,0,0,0,1,1,1,0,2,0,0,1,0,0,0
208,,7,12,12,9,12,9,9,8,7,9,18,13,17,12
209,,14,10,21,12,12,6,11,6,11,7,9,12,4,11
210,,68,64,56,44,44,43,38,40,56,55,63,84,66,80
211,,196,182,122,158,113,95,106,84,97,92,145,100,69,99
212,,1,951,838,756,867,777,716,638,679,740,698,672,606,646
213,,156,104,69,85,106,97,76,92,113,95,99,79,86,158
214,,14,12,5,4,8,14,1,1,3,1,1,2,0,3
215,,199,182,156,144,154,132,121,115,121,119,144,130,113,131
216,,1,3,0,2,1,1,3,0,1,2,2,1,1,0
217,,19,28,34,25,22,26,43,32,43,35,40,37,26,11
218,,22,21,23,35,28,24,27,21,26,24,36,18,20,4
219,,187,220,206,184,183,211,182,152,186,126,165,115,107,66
220,,432,468,417,589,503,503,437,381,261,431,429,360,260,79
221,,1,1,1,2,2,1,1,1,1,1,1,1,978,415
222,,104,89,80,106,129,123,134,86,113,133,140,122,61,22
223,,32,37,36,23,22,21,17,17,8,10,17,16,11,6
224,,420,470,425,496,460,457,463,348,402,385,428,351,278,117
225,,20,23,35,25,27,15,28,25,28,0,0,0,0,0
226,,91,59,80,62,95,85,83,233,264,0,0,0,0,0
227,,489,229,318,289,291,277,238,254,304,0,0,0,0,0
228,,549,386,507,447,534,500,382,548,567,0,0,0,0,0
229,,2,1,1,1,1,1,1,1,1,0,0,0,0,0
230,,5,3,4,4,4,4,4,4,4,0,0,0,0,0
231,,2,1,1,1,1,1,1,956,989,0,0,0,0,0
232,,0,0,0,0,0,69,56,61,77,0,0,0,0,0
233,,632,406,521,471,507,464,440,538,553,0,0,0,0,0
234,,0,4,0,0,0,0,3,1,0,0,0,0,0,0
235,,48,41,62,42,38,53,55,25,0,0,0,0,0,0
236,,63,78,76,62,37,53,75,27,0,0,0,0,0,0
237,,299,291,293,315,271,269,216,158,0,0,0,0,0,0
238,,550,800,683,527,505,607,494,209,0,0,0,0,0,0
239,,4,3,3,3,3,3,2,1,0,0,0,0,0,0
240,,196,199,156,157,194,203,174,99,0,0,0,0,0,0
241,,23,26,20,21,14,26,19,12,0,0,0,0,0,0
242,,381,375,365,333,308,335,314,162,0,0,0,0,0,0
243,,0,0,0,1,1,1,0,2,0,0,1,0,0,0
244,,7,12,12,9,12,9,9,8,7,9,18,13,17,12
245,,14,10,21,12,12,6,11,6,11,7,9,12,4,11
246,,68,64,56,44,44,43,38,40,56,55,63,84,66,80
247,,196,182,122,158,113,95,106,84,97,92,145,100,69,99
